"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 17:21:57 GMT 2021","Wed Aug 18 17:22:31 GMT 2021","34812","","LoginPageTest","","LoginPageTest","registrationTest","Automated registration test with randomized data",""
"passed","Wed Aug 18 17:22:42 GMT 2021","Wed Aug 18 17:22:58 GMT 2021","15829","","TermsAndConditionsTest","","TermsAndConditionsTest","getTermsAndConditions","Find the terms and conditions page test",""
"passed","Wed Aug 18 17:23:53 GMT 2021","Wed Aug 18 17:25:58 GMT 2021","124730","","WishlistTest","","WishlistTest","removeFromWishlistTest","Adding, then removing a product from a wishlist test",""
"broken","Wed Aug 18 17:21:57 GMT 2021","Wed Aug 18 17:22:32 GMT 2021","35333","","AccountsTest","","AccountsTest","addressChangeTest","Address change test","The objective of this test is to see whether the address can be changed. The address is changed to the given test address and then compared. After that, the address is randomized in order to reset the test environment."
"passed","Wed Aug 18 17:23:14 GMT 2021","Wed Aug 18 17:23:53 GMT 2021","38894","","ListScrollTest","","ListScrollTest","listScrollTest","Scrolling through multiple pages test","The objective of this test is to scroll through multiple pages and count how many products are there in the given categories."
"passed","Wed Aug 18 17:22:32 GMT 2021","Wed Aug 18 17:23:07 GMT 2021","34980","","LoginPageTest","","LoginPageTest","loginTest","Login test with a random account and password after a successful registration",""
"broken","Wed Aug 18 17:23:07 GMT 2021","Wed Aug 18 17:23:40 GMT 2021","33432","","LoginPageTest","","LoginPageTest","logoutTest","Logout test after a successful registration test",""
"passed","Wed Aug 18 17:22:58 GMT 2021","Wed Aug 18 17:23:14 GMT 2021","16252","","TermsAndConditionsTest","","TermsAndConditionsTest","isTermsAndConditionsPageEmpty","Validating correct Terms and Conditions text test",""
"passed","Wed Aug 18 17:25:58 GMT 2021","Wed Aug 18 17:26:59 GMT 2021","61437","","WishlistTest","","WishlistTest","addToWishlistTest","Adding a product to wishlist test",""
"passed","Wed Aug 18 17:22:32 GMT 2021","Wed Aug 18 17:22:42 GMT 2021","10191","","HomePageTest","","HomePageTest","correctHomePageUrlTest","Website is up and running test",""
