"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Aug 18 13:24:09 GMT 2021","Wed Aug 18 13:24:27 GMT 2021","18890","","WishlistTest","","WishlistTest","removeFromWishlistTest","removeFromWishlistTest()",""
"broken","Wed Aug 18 13:24:00 GMT 2021","Wed Aug 18 13:24:08 GMT 2021","7796","","ListScrollTest","","ListScrollTest","listScrollTest","listScrollTest()",""
"broken","Wed Aug 18 13:24:28 GMT 2021","Wed Aug 18 13:24:37 GMT 2021","8711","","WishlistTest","","WishlistTest","addToWishlistTest","addToWishlistTest()",""
"broken","Wed Aug 18 13:23:52 GMT 2021","Wed Aug 18 13:23:56 GMT 2021","4274","","TermsAndConditionsTest","","TermsAndConditionsTest","getTermsAndConditions","getTermsAndConditions()",""
"passed","Wed Aug 18 13:22:48 GMT 2021","Wed Aug 18 13:23:07 GMT 2021","19191","","LoginPageTest","","LoginPageTest","registrationTest","Automated registration test with randomized data",""
"passed","Wed Aug 18 13:23:07 GMT 2021","Wed Aug 18 13:23:22 GMT 2021","14524","","LoginPageTest","","LoginPageTest","loginTest","Login test with a random account and password after a successful registration",""
"broken","Wed Aug 18 13:23:56 GMT 2021","Wed Aug 18 13:24:00 GMT 2021","3768","","TermsAndConditionsTest","","TermsAndConditionsTest","isTermsAndConditionsPageEmpty","isTermsAndConditionsPageEmpty()",""
"passed","Wed Aug 18 13:23:48 GMT 2021","Wed Aug 18 13:23:51 GMT 2021","2797","","HomePageTest","","HomePageTest","correctHomePageUrlTest","Website up and running test",""
"broken","Wed Aug 18 13:23:42 GMT 2021","Wed Aug 18 13:23:48 GMT 2021","5874","","AccountsTest","","AccountsTest","addressChangeTest","addressChangeTest()",""
"passed","Wed Aug 18 13:23:22 GMT 2021","Wed Aug 18 13:23:42 GMT 2021","20276","","LoginPageTest","","LoginPageTest","logoutTest","Logout test after a successful registration test",""
